Games,Year,Gender,Event,Participant,Country,Distance,Time_S,Mark
,1956,men,800m,Thomas COURTNEY,USA,800,107.7,
Melbourne / Stockholm 1956,1956,men,high-jump,Charles DUMAS,USA,,,2.12
Melbourne / Stockholm 1956,1956,men,long-jump,Gregory Curtis BELL,USA,,,7.83
,1956,men,marathon,Alain MIMOUN,FRA,42195,8700,
,1956,men,pole-vault,Bob RICHARDS,USA,,,4.56
,1956,men,triple-jump,Adhemar DA SILVA,BRA,,,16.35
,1952,men,10000m,Emil ZÁTOPEK,TCH,10000,1757,
Helsinki 1952,1952,men,100m,Lindy REMIGINO,USA,100,10.4,
,1952,men,1500m,Joseph BARTHEL,LUX,1500,225.2,
Helsinki 1952,1952,men,200m,Andy STANFIELD,USA,200,20.7,
,1952,men,400m,George RHODEN,JAM,400,45.9,
Helsinki 1952,1952,men,4x100m-relay,,USA,400,40.1,
,1952,men,4x400m-relay,,JAM,1600,183.9,
,1952,men,5000m,Emil ZÁTOPEK,TCH,5000,846.6,
,1952,men,800m,Mal WHITFIELD,USA,800,109.2,
Helsinki 1952,1952,men,high-jump,Walt DAVIS,USA,,,2.04
Helsinki 1952,1952,men,long-jump,Jerome BIFFLE,USA,,,7.57
,1952,men,marathon,Emil ZÁTOPEK,TCH,42195,8583.2,
,1952,men,pole-vault,Bob RICHARDS,USA,,,4.55
,1952,men,triple-jump,Adhemar DA SILVA,BRA,,,16.22
,1948,men,10000m,Emil ZÁTOPEK,TCH,10000,1799.6,
London 1948,1948,men,100m,Harrison DILLARD,USA,100,10.3,
,1948,men,1500m,Henry ERIKSSON,SWE,1500,229.8,
London 1948,1948,men,200m,Mel PATTON,USA,200,21.1,
,1948,men,400m,Arthur WINT,JAM,400,46.2,
London 1948,1948,men,4x100m-relay,,USA,400,40.6,
,1948,men,4x400m-relay,,USA,1600,190.4,
,1948,men,5000m,Gaston REIFF,BEL,5000,857.6,
,1948,men,800m,Mal WHITFIELD,USA,800,109.2,
London 1948,1948,men,high-jump,John WINTER,AUS,,,1.98
London 1948,1948,men,long-jump,William Samuel STEELE,USA,,,7.825
,1948,men,marathon,Delfo CABRERA,ARG,42195,9291.6,
,1948,men,pole-vault,Guinn SMITH,USA,,,4.3
,1948,men,triple-jump,Arne ÅHMAN,SWE,,,15.4
,1936,men,10000m,Ilmari SALMINEN,FIN,10000,1815.4,
Berlin 1936,1936,men,100m,Jesse OWENS,USA,100,10.3,
,1936,men,1500m,John LOVELOCK,NZL,1500,227.8,
,1936,men,200m,Jesse OWENS,USA,200,20.7,
,1936,men,400m,Archibald Franklin WILLIAMS,USA,400,46.5,
Berlin 1936,1936,men,4x100m-relay,,USA,400,39.8,
,1936,men,4x400m-relay,,GBR,1600,189,
,1936,men,5000m,Gunnar HÖCKERT,FIN,5000,862.2,
,1936,men,800m,John WOODRUFF,USA,800,112.9,
Berlin 1936,1936,men,high-jump,Cornelius JOHNSON,USA,,,2.03
,1936,men,long-jump,Jesse OWENS,USA,,,8.06
,1936,men,marathon,Kitei SON,JPN,42195,8959.2,
,1936,men,pole-vault,Earle MEADOWS,USA,,,4.35
,1936,men,triple-jump,Naoto TAJIMA,JPN,,,16
,1932,men,10000m,Janusz KUSOCINSKI,POL,10000,1811.4,
Los Angeles 1932,1932,men,100m,Eddie TOLAN,USA,100,10.3,
,1932,men,1500m,Luigi BECCALI,ITA,1500,231.2,
,1932,men,200m,Eddie TOLAN,USA,200,21.2,
,1932,men,400m,William Arthur CARR,USA,400,46.2,
Los Angeles 1932,1932,men,4x100m-relay,,USA,400,40,
,1932,men,4x400m-relay,,USA,1600,188.2,
,1932,men,5000m,Lauri LEHTINEN,FIN,5000,870,
,1932,men,800m,Thomas HAMPSON,GBR,800,109.8,
Los Angeles 1932,1932,men,high-jump,Duncan MCNAUGHTON,CAN,,,1.97
,1932,men,long-jump,Edward Lansing GORDON,USA,,,7.64
,1932,men,marathon,Juan Carlos ZABALA,ARG,42195,9096,
,1932,men,pole-vault,William Waring MILLER,USA,,,4.315
,1932,men,triple-jump,Chuhei NAMBU,JPN,,,15.72
,1928,men,10000m,Paavo NURMI,FIN,10000,1818.8,
Amsterdam 1928,1928,,100m,,,100,,
,1928,men,1500m,Harri LARVA,FIN,1500,233.2,
,1928,men,200m,Percy WILLIAMS,CAN,200,21.8,
,1928,men,400m,Raymond James BARBUTI,USA,400,47.8,
Amsterdam 1928,1928,men,4x100m-relay,,USA,400,41,
,1928,men,4x400m-relay,,USA,1600,194.2,
,1928,men,5000m,Ville RITOLA,FIN,5000,878,
Amsterdam 1928,1928,men,800m,Douglas LOWE,GBR,800,111.8,
Amsterdam 1928,1928,men,high-jump,Robert Wade KING,USA,,,1.94
,1928,men,long-jump,Edward Barton HAMM,USA,,,7.73
,1928,men,marathon,Boughèra EL OUAFI,FRA,,152.57,0
,1928,men,pole-vault,Sabin CARR,USA,,,4.2
,1928,men,triple-jump,Mikio ODA,JPN,,,15.21
